페이지,클릭수,노출수,CTR,게재순위
https://ellite.co.kr/,1.0,7.0,0.1429,10.71
https://ellite.co.kr/area.html,0.0,5.0,0.0,4.2
https://ellite.co.kr/location.html,0.0,5.0,0.0,7.4
https://ellite.co.kr/blog.html,0.0,4.0,0.0,8.25
https://ellite.co.kr/hours.html,0.0,2.0,0.0,2.5
https://ellite.co.kr/price.html,0.0,2.0,0.0,4.5
https://ellite.co.kr/guide.html,0.0,2.0,0.0,6.0
https://ellite.co.kr/venue-youandme.html,0.0,2.0,0.0,8.5
https://ellite.co.kr/venue-dalto.html,0.0,2.0,0.0,9.5
https://ellite.co.kr/samseong-guide.html,0.0,1.0,0.0,6.0
